issue,subject,company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,replied,general,"Hi, The requested conversation either doesn't exist or you don't have permission to access it.""

Note that the removed user’s data will still be included in any **[data exports](https://support.claude.com/en/articles/9450526-how-can-i-export-my-claude-data)** run by your organization’s Primary Owner. Once a user is removed from your Team or Enterprise organization, whether remaining members can access their projects or not depends on the project's visibility settings. #### Private projects

If the project’s visibility was set to private, other members of the organization will not be able to access it once the team member has been removed from the account. When a user is removed from your Team or Enterprise organization, remaining members will no longer be able to access their chats.

For m",Found relevant documentation: 'What happens to a user's data when they are removed from a Team or Enterprise organization?' (confidence: 24.5),product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,replied,general,This query appears to be out of scope for our support team. Please contact the appropriate service for assistance with this matter.,"Query is unrelated to supported products (Claude, HackerRank, Visa)",invalid
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,general_support,,No specific Visa procedures found for this issue,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,replied,screen,"Hi, # Introduction to Mock Interview Types of mock interviews Accessing mock interview

_Last updated: Apr 22, 2026, 10:59 AM (Last updated 4 days ago)_

HackerRank Community offers AI-powered mock interviews that simulate real-world technical job interviews and provide immediate feedback on your performance. Mock interviews support:

- Voice-based interaction

- Chat-based interaction

# Types of mock interviews

HackerRank Community offers the following AI-powered mock interview types:

- [📄 Technical Screen Mock Interview](/articles/5671120169)
  \
- [📄 Coding Mock Interview](/articles/6795045456)
  \
- [📄 System Design Mock Interview](/articles/8813699799)
  \
- [📄 Behavioural Mock Interview](/articles/5174727491)
  \
- [📄 AI Fluency Mock Interview](/articles/3796809491)
  \

# Accessi",Found relevant documentation: 'Introduction to Mock Interview Types of mock interviews Accessing mock interview' (confidence: 13.7),product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,replied,community,"Hi, You can recommend the following articles to your candidates to help them familiarize themselves with HackerRank Interview before an interview. # Scheduling HackerRank Interviews with Candidates in Lever

_Last updated: Apr 3, 2025, 11:37 AM (Last updated 1 year ago)_

## Overview

Lever users can leverage the integration with HackerRank Interview to quickly conduct or schedule online coding interviews with their candidates. A recruiter using Lever can access this link to schedule remote interviews with a candidate, thus progressing seamlessly through the hiring process. ## Scheduling HackerRank Interviews with Candidates in Lever

**Example**: In Lever, you add the **HackerRank CodePair** tag to a candidate's profile, or associate it with a **Job** having the same tag.

If you need mor",Found relevant documentation: 'Scheduling HackerRank Interviews with Candidates in Lever' (confidence: 13.2),product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,replied,billing,"Hi, A recruiter using Lever can access this link to schedule remote interviews with a candidate, thus progressing seamlessly through the hiring process. You can recommend the following articles to your candidates to help them familiarize themselves with HackerRank Interview before an interview. # Scheduling HackerRank Interviews with Candidates in Lever

_Last updated: Apr 3, 2025, 11:37 AM (Last updated 1 year ago)_

## Overview

Lever users can leverage the integration with HackerRank Interview to quickly conduct or schedule online coding interviews with their candidates. ## Scheduling HackerRank Interviews with Candidates in Lever

**Example**: In Lever, you add the **HackerRank CodePair** tag to a candidate's profile, or associate it with a **Job** having the same tag.

If you need mor",Found relevant documentation: 'Scheduling HackerRank Interviews with Candidates in Lever' (confidence: 25.4),product_issue
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,general,"Hi, # Hide Locked Tabs in Interviews Key benefits Enable automatic tab lock and hide Interviewer experience Candidate experience

_Last updated: Sep 29, 2025, 1:14 AM (Last updated 7 months ago)_

You can use the **Automatic Tab Locking and Hiding** feature to help candidates stay focused during an interview. **Note:** The **Automatic Tab Locking and Hiding feature** is disabled by default. # Enable automatic tab lock and hide 

To enable automatic tab lock and hide:

1. Select the **Enable Automatic lock** checkbox.

If you need more details, please check: https://support.hackerrank.com/articles/2284202564-hiding-locked-tabs-in-interviews",Found relevant documentation: 'Hide Locked Tabs in Interviews Key benefits Enable automatic tab lock and hide Interviewer experience Candidate experience' (confidence: 17.3),product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,replied,general,This query appears to be out of scope for our support team. Please contact the appropriate service for assistance with this matter.,"Query is unrelated to supported products (Claude, HackerRank, Visa)",invalid
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,general,This query appears to be out of scope for our support team. Please contact the appropriate service for assistance with this matter.,"Query is unrelated to supported products (Claude, HackerRank, Visa)",invalid
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,replied,general,Happy to help! Feel free to reach out if you have any other questions.,Acknowledgment message - no action needed,invalid
